
--- Date: 2021-10-15 (Fri Oct 2021) +0300 UTC+03:00

12:45:20.733         | //////////////////////////////////////////////////////////////////////////////
12:45:20.733         | //
12:45:20.733         | // Build: StarConflict 1.9.2a.146826 (Linux) (Oct  1 2021 11:07:44)
12:45:20.733         | //
12:45:20.733         | //////////////////////////////////////////////////////////////////////////////
12:45:20.733         | 
12:45:20.760         | Steam initialized appId 212070, userSteamID 1|1|33778b8a, userName 'feresey'
12:45:22.772         | Try to setup resolution 1920x1080 1920x1080 0
12:45:23.290         | Try to setup resolution 1920x1080 1920x1080 0
12:45:23.290         | reset d3d device
12:45:23.397         | Client language: RUSSIAN
12:45:23.502         | Number of audio devices: 2
12:45:23.502         |  Audio device 0: Default Output Device
12:45:23.502         | 	Sound caps: 
12:45:23.502         | 	Speaker mode: STEREO
12:45:23.502         |  Audio device 1: Starship/Matisse HD Audio Controller Аналоговый стерео
12:45:23.502         | 	Sound caps: 
12:45:23.502         | 	Speaker mode: STEREO
12:45:23.502         | Number of recording audio devices: 3
12:45:23.502         |  Recording audio device 0: Default Input Device
12:45:23.502         |  Recording audio device 1: Monitor of Starship/Matisse HD Audio Controller Аналоговый стерео
12:45:23.502         |  Recording audio device 2: Starship/Matisse HD Audio Controller Аналоговый стерео
12:45:23.502         | Speaker mode: STEREO
12:45:25.147  WARNING| Could not load ship specularity texture levels\envsettings\default/ship_specularity.dds, used level specularity texture
12:45:25.147  WARNING| Could not load ship irradiance texture levels\envsettings\default/ship_irradiance.dds, used level irradiance texture
12:45:25.147         | Environment setting 'default' loaded
12:45:25.151         | AutogenManager::InitFromLua(): autogen data is loaded successfull
12:45:25.151         | BattlePass::ReadDescFromLua(): BattlePass desc loaded successfully
12:45:25.155         | Entity Defs hash 72512913. calculated in 5.64 ms
12:45:25.158         | BnRandCaller succeeded
12:45:25.166         | Try to setup resolution 1920x1055 1920x1055 0
12:45:25.166         | reset d3d device
12:45:25.899         | ReplayManager: stopping activity due to map change
12:45:25.902         | Peak models: 228
12:45:25.902         | Peak geometries: 52. Cur geometries: 52
12:45:25.995         | ====== starting level: 'levels/mainmenu/mainmenu'  ======
12:45:26.025         | Remove autogen defs
12:45:26.025         | Remove autogen defs
12:45:26.026  WARNING| Could not load ship specularity texture levels\envsettings\mainmenu/ship_specularity.dds, used level specularity texture
12:45:26.026  WARNING| Could not load ship irradiance texture levels\envsettings\mainmenu/ship_irradiance.dds, used level irradiance texture
12:45:26.026         | Environment setting 'mainmenu' loaded
12:45:27.195         | MasterServer_RequestServerStatus
12:45:27.196         | MasterServer_RequestServerVersion
12:45:27.196         | MasterServer_RequestNewsFeed
12:45:27.196         | MasterServer_RequestServerAddresess
12:45:27.197         | Requesting web advert ...
12:45:27.213         | ====== level started:  'levels/mainmenu/mainmenu' success ======
12:45:27.397  WARNING| frame 65 gameGlobals.frameTimeReal is too large (0.200772)
12:45:27.421         | MasterServer_OnServerStatus: status code 0, server status 1
12:45:27.422         | MasterServer_OnServerVersion: status code 0, version 1.9.2a.146826
, my version is 1.9.2a.146826
12:45:27.422         | MasterServer_OnServerAddresess: status code 0
12:45:27.422         | MasterServer_OnWebAdvertisement: status code 0
12:45:27.422         | MasterServer_OnWebAdvertisement: loading image 0/0 from cache...
12:45:27.422         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.441         | MasterServer_OnWebAdvertisement: loading image 0/1 from cache...
12:45:27.442         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.458         | MasterServer_OnWebAdvertisement: loading image 1/0 from cache...
12:45:27.459         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.526         | MasterServer_OnWebAdvertisement: loading image 1/1 from cache...
12:45:27.526         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.526         | MasterServer_OnWebAdvertisement: loading image 2/0 from cache...
12:45:27.526         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.534         | MasterServer_OnWebAdvertisement: loading image 2/1 from cache...
12:45:27.534         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.534    ERROR| MasterServer_OnWebAdvertImage: failed to load image: progressive jpeg
12:45:27.534         | MasterServer_OnWebAdvertisement: loading image 3/0 from cache...
12:45:27.534         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.541         | MasterServer_OnWebAdvertisement: loading image 3/1 from cache...
12:45:27.541         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.541    ERROR| MasterServer_OnWebAdvertImage: failed to load image: progressive jpeg
12:45:27.541         | MasterServer_OnWebAdvertisement: loading image 4/0 from cache...
12:45:27.541         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.548         | MasterServer_OnWebAdvertisement: loading image 4/1 from cache...
12:45:27.548         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.548         | MasterServer_OnWebAdvertisement: loading image 5/0 from cache...
12:45:27.548         | MasterServer_OnWebAdvertImage: status code 0
12:45:27.555         | Finalizing WebAd image fetching.
12:45:27.563  WARNING| frame 67 gameGlobals.frameTimeReal is too large (0.138958)
12:45:27.641         | MasterServer_OnNewsFeed: status code 0
12:46:09.984         | MasterServerEndpoint: connecting to load balancer at 23.111.211.205:3801 [0]...
12:46:09.988         | MasterServerEndpoint: connected to load balancer 23.111.211.205:3801, awaiting shard address...
12:46:10.001         | Applying LB cvars...
12:46:10.001         | 'mss_playerBoughtVesselAdCooldown' <- '20.000'
12:46:10.001         | 'clan_shipBuildHighRanks' <- '3.000'
12:46:10.001         | 'sv_dailyWinPvpExpRewardCf' <- '2.000'
12:46:10.002         | 'sv_dailyWinCoopExpRewardCf' <- '2.000'
12:46:10.002         | 'event_halloween' <- '0.000'
12:46:10.002         | 'event_claws' <- '0.000'
12:46:10.002         | 'sv_dailyWinPveExpRewardCf' <- '2.000'
12:46:10.002         | 'clan_shipUpgradeCanBuild' <- '3.000'
12:46:10.002         | 'clan_shipPartsCanBuild' <- '4.000'
12:46:10.002         | 'mss_playerBoughtVesselAdLoBrace' <- '-4.000'
12:46:10.002         | 'sv_dailyWinBrawlExpRewardCf' <- '2.000'
12:46:10.002         | 'cl_showBiomorphsKilledCounter' <- '0.000'
12:46:10.002         | 'mss_playerBoughtVesselAdHiBrace' <- '4.000'
12:46:10.002         | OnMessageClient(): received shard address: (23.111.211.207:3802)
12:46:10.002         | OnMessageClient(): received shard address: (23.111.211.208:3802)
12:46:10.002         | OnMessageClient(): received shard address: (23.111.211.205:3802)
12:46:10.002         | OnMessageClient(): received chat server address (23.111.211.205:3815)
12:46:10.002         | ConnectNextShard(): 3 - try establish connect with shard: 23.111.211.207:3802
12:46:10.002         | disconnected from masterServer with reason 0
12:46:10.002         | Disconnecting from load balancer
12:46:10.015         | MasterServerEndpoint: connected to shard 23.111.211.207:3802, awaiting auth request...
12:46:10.111         | Profile 'lol' saved successfully in '/home/lol/.local/share/starconflict/profiles/0001.prfl'
12:46:10.365         | Try to setup resolution 1920x1080 1920x1080 0
12:46:10.365         | reset d3d device
12:46:11.122  WARNING| frame 667 gameGlobals.frameTimeReal is too large (0.770460)
12:46:14.049         | MasterServerEndpoint: Successfully login to masterServer, uid 2516405, nick ZiroTwo, spaceStationZoneId 2
12:46:14.335         | ShipPresetsRead: ship presets are successfully read from /home/lol/.local/share/starconflict/ship_presets/ship_presets_2516405.shpr
